term	daf_count	tractate_count	tractates	sample_dafs
Kanfei Yonah (Dove Feathers)	1	1	Shabbat	Shabbat 49
Kanigi (hunter)	1	1	Hullin	Hullin 61
Kanim and Chilat (hard materials)	1	1	Sukkah	Sukkah 20
Kanin (pair of birds)	1	1	Keritot	Keritot 10
Kanina Mineih	1	1	Bava Batra	Bava Batra 152
Kankanim (Wine Jars)	1	1	Avodah Zarah	Avodah Zarah 34
Kankanim Delokeiach (Buyer's Vessels)	1	1	Bava Batra	Bava Batra 98
Kankanim Democher (Seller's Vessels)	1	1	Bava Batra	Bava Batra 98
Kankanin	1	1	Avodah Zarah	Avodah Zarah 33
Kankantom (Indelible Ink Additive)	1	1	Sotah	Sotah 20
Kansinan Lemocher (Fine the Seller)	1	1	Kiddushin	Kiddushin 56
Kanu atzman b'nei chorin (slaves take ownership of themselves)	1	1	Gittin	Gittin 39
Kanya / Kanah (Acquires/Acquisition)	1	1	Bava Metzia	Bava Metzia 66
kapara	1	1	Bava Kamma	Bava Kamma 111
Kapara (Atonement/Expiation)	1	1	Makkot	Makkot 3
Kapara (Atonement/Offering Made)	1	1	Menachot	Menachot 80
Kapara / Atonement	1	1	Makkot	Makkot 12
kaparah (atonement) through lashes	1	1	Temurah	Temurah 3
Kaparah Lo Me'akva	1	1	Berakhot	Berakhot 2
kapbalat mitzvot (acceptance of commandments)	1	1	Ketubot	Ketubot 11
Kapdan (hostile/contentious)	1	1	Pesachim	Pesachim 88
Kapeach et Shokav (Breaking Legs)	1	1	Sotah	Sotah 44
Kapid (Concerned/Careful)	1	1	Shabbat	Shabbat 147
Kapid (to be strict/provoked)	1	1	Bava Batra	Bava Batra 29
Kapid amishchata (concerned with specific size)	1	1	Shabbat	Shabbat 74
Kapid/Kapida (Objection/Concern)	1	1	Sotah	Sotah 25
Kaporet (ark cover)	1	1	Zevachim	Zevachim 42
Kapot Tmarim (Palm Branch Binding)	1	1	Sukkah	Sukkah 32
Kappa (danger from Maror)	1	1	Pesachim	Pesachim 115
Kappara (כפרה)	1	1	Rosh Hashanah	Rosh Hashanah 6
Kapparah (atonement concept)	1	1	Bava Kamma	Bava Kamma 40
Kapparah (Atonement Through Punishment)	1	1	Makkot	Makkot 4
Kapparah (כפרה) - Atonement	1	1	Menachot	Menachot 4
Kapparah/atonement (כפרה)	1	1	Yoma	Yoma 44
Kapporet (Ark Cover)	1	1	Yoma	Yoma 55
Kaptan (Easily Offended)	1	1	Sanhedrin	Sanhedrin 113
Kar Nirchav (Wide Pasture/Pillow)	1	1	Menachot	Menachot 87
kar'ei d'avuha (the legs of his father)	1	1	Eruvin	Eruvin 70
Kara Al Peh Lo Yatza - Reading Orally Without a Scroll Does Not Fulfill the Obligation	1	1	Megillah	Megillah 18
Karachas (bald spot in vineyard)	1	1	Eruvin	Eruvin 3
Karachas Hakerem (Bald Spot in Vineyard)	1	1	Eruvin	Eruvin 93
Karaim (Karaite critique of Rabbinic Judaism)	1	1	Niddah	Niddah 72b
Karaina (Reader)	1	1	Kiddushin	Kiddushin 49
Karait (excision penalty)	1	1	Zevachim	Zevachim 9
Karaite Polemic	1	1	Shabbat	Shabbat 20
Karaites (Qaraim)	1	1	Yevamot	Yevamot 3
Karaites as Tinok Shenishba	1	1	Shabbat	Shabbat 68
Karaites vs. Samaritans	1	1	Niddah	Niddah 57
Karaka/Karka (קרקע)	1	1	Gittin	Gittin 37
Karates (Heavenly Punishment of Excision)	1	1	Shabbat	Shabbat 71
karaui lo / as is fit for him	1	1	Bava Batra	Bava Batra 138
Karauy (Appropriate/Proper)	1	1	Bava Kamma	Bava Kamma 55
Karayei hamita (bed legs)	1	1	Nedarim	Nedarim 3
Karbanot (sacrifices)	1	1	Nazir	Nazir 63
Karcha (Bald Spot in the Land)	1	1	Sanhedrin	Sanhedrin 17
Karchanim (Bald People)	1	1	Bekhorot	Bekhorot 43
Karchos goats	1	1	Hullin	Hullin 59
Karchov (decoration/strip on altar)	1	1	Zevachim	Zevachim 62
Kareis (Divine Excision)	1	1	Zevachim	Zevachim 34
kareis (excision by divine hand)	1	1	Sanhedrin	Sanhedrin 53
Kareis (Excision Punishment)	1	1	Hullin	Hullin 74
Kareis (excision)	1	1	Yevamot	Yevamot 78
Kareis (Excision; Divine Punishment)	1	1	Shevuot	Shevuot 16
Kareit (Excision Punishment)	1	1	Yevamot	Yevamot 4
kareit (excision/separation)	1	1	Taanit	Taanit 11
Kareit (Karet)	1	1	Sanhedrin	Sanhedrin 65
Kares	1	1	Shabbat	Shabbat 133
kares	1	1	Zevachim	Zevachim 10
kares (cutting off)	1	1	Shabbat	Shabbat 132
kares (death penalty by divine hand)	1	1	Shevuot	Shevuot 24
Kares (Divine Excision Penalty)	1	1	Menachot	Menachot 25
Kares (divine punishment/cutting off)	1	1	Ketubot	Ketubot 31
kares (divinely-inflicted excision/death)	1	1	Yevamot	Yevamot 74
Kares (excision)	1	1	Keritot	Keritot 25b
Kares (spiritual excision/cutting off)	1	1	Zevachim	Zevachim 43
kares (spiritual excision/death penalty)	1	1	Zevachim	Zevachim 41
Kares – shortened lifespan (50-60 years)	1	1	Moed Katan	Moed Katan 29
Karet (Cutting Off)	1	1	Shevuot	Shevuot 7
Karet (Divine Excision)	1	1	Makkot	Makkot 13
karet (divine excision)	1	1	Zevachim	Zevachim 33
Karet (divine excision) as punishment	1	1	Shevuot	Shevuot 6
Karet (Divine Punishment)	1	1	Shevuot	Shevuot 22
Karet (Divine Punishment—Excision)	1	1	Menachot	Menachot 60
Karet (Divinely Inflicted Death)	1	1	Shabbat	Shabbat 69
Karet (excision as punishment)	1	1	Yevamot	Yevamot 8
Karet (Excision as Punishment)	1	1	Zevachim	Zevachim 107
Karet (Excision Penalty)	1	1	Zevachim	Zevachim 28
Karet (excision penalty) as evidence of marriage requirement	1	1	Kiddushin	Kiddushin 51
Karet (excision punishment)	1	1	Shabbat	Shabbat 25
karet (excision)	1	1	Menachot	Menachot 109
Karet (Excision) and Lashes	1	1	Makkot	Makkot 14
Karet (Excision/Cutting Off)	1	1	Sanhedrin	Sanhedrin 91
Karet (Excision/Divine Punishment)	1	1	Keritot	Keritot 7
Karet (excision; capital punishment for violating Shechutei Chutz)	1	1	Zevachim	Zevachim 114
Karet (Excision; Divine Punishment)	1	1	Sanhedrin	Sanhedrin 41
Karet (Excision—capital punishment for certain transgressions)	1	1	Keritot	Keritot 21
Karet (kareit) vs. Mita B'Yedei Shamayim (death from heaven)	1	1	Pesachim	Pesachim 33
karet (kreis)	1	1	Zevachim	Zevachim 29
Karet (spiritual excision penalty)	1	1	Pesachim	Pesachim 42
Karet (spiritual excision)	1	1	Zevachim	Zevachim 42
Karet (spiritual excision) and malkot atonement	1	1	Makkot	Makkot 24
Karet / Kares (capital punishment)	1	1	Hullin	Hullin 88
Karet as consequence of willful violation	1	1	Horayot	Horayot 8
Karet Punishment	1	1	Shevuot	Shevuot 39
Karetand Lav (Divine Punishment Levels)	1	1	Shabbat	Shabbat 70
Karev kol matirav (the offering fails and none of it is permitted)	1	1	Zevachim	Zevachim 38
Karev legabei mizbe'ach (offered on the altar)	1	1	Avodah Zarah	Avodah Zarah 51
karga (head tax/poll tax)	1	1	Bava Metzia	Bava Metzia 108
karga (poll tax)	1	1	Bava Batra	Bava Batra 55
kari (stack of grain)	1	1	Bava Metzia	Bava Metzia 105
Kariv vs. Rachok (nearby vs. far)	1	1	Moed Katan	Moed Katan 22
karka (land / immovable property)	1	1	Gittin	Gittin 44
karka (land property tax)	1	1	Bava Batra	Bava Batra 55
Karka (land)	1	1	Sanhedrin	Sanhedrin 29b
karka (land) - no ona'ah	1	1	Kiddushin	Kiddushin 42
Karka (land) vs metaltelim (chattel)	1	1	Gittin	Gittin 39
Karka (Land/Liens)	1	1	Ketubot	Ketubot 88
Karka (land/property)	1	1	Bava Metzia	Bava Metzia 103
Karka (land/real estate)	1	1	Menachot	Menachot 69
Karka (Land/Real Property as Principal)	1	1	Ketubot	Ketubot 79
Karka (land; excluded from kefel)	1	1	Bava Kamma	Bava Kamma 64
Karka (land; presumption remains with known previous owner)	1	1	Bava Batra	Bava Batra 28
Karka (Real Estate)	1	1	Nedarim	Nedarim 65
karka (real property/land)	1	1	Bekhorot	Bekhorot 51
Karka Be-Chezkat Be'aleha	1	1	Bava Metzia	Bava Metzia 110
Karka Ein Nigzelet (land cannot be stolen)	1	1	Bava Kamma	Bava Kamma 118
karka eina nigzelet (land cannot be stolen)	1	1	Sukkah	Sukkah 30
Karka Einah Nigzeles (Land Cannot Be Stolen)	1	1	Bava Kamma	Bava Kamma 95
karka kidei parnasaso (land sufficient for livelihood)	1	1	Bava Batra	Bava Batra 149
Karka Nigzelet vs. Karka Einah Nigzelet (Whether Land Can Be Stolen)	1	1	Sukkah	Sukkah 31
Karka Olam (Original Ground)	1	1	Bava Kamma	Bava Kamma 30
Karka Olam (Passive/Ground)	1	1	Sanhedrin	Sanhedrin 74
Karka Olam (The Earth Itself)	1	1	Bava Kamma	Bava Kamma 28
Karka Olam Hizikato (Eternally Existing Ground Caused Injury)	1	1	Bava Kamma	Bava Kamma 50
Karka/Karkeot (Real Estate/Land)	1	1	Ketubot	Ketubot 91
Karkashta (fringes/edges)	1	1	Bava Metzia	Bava Metzia 7
Karmel	1	1	Menachot	Menachot 84
Karmel (ripeness interpretation)	1	1	Menachot	Menachot 65
Karmel (soft and full grain)	1	1	Menachot	Menachot 64b
karmelis	1	1	Eruvin	Eruvin 95
Karmelis	1	1	Megillah	Megillah 24
Karmelis (intermediate domain)	1	1	Shabbat	Shabbat 99
Karmelis (Intermediate Domain) — Rabbinic Prohibition Only	1	1	Eiruvin	Eiruvin 33
Karmelis (neutral zone/intermediate domain)	1	1	Eruvin	Eruvin 98
Karmelis (rabbinic domain)	1	1	Eruvin	Eruvin 67
karmelit (neither-public-nor-private domain)	1	1	Bava Batra	Bava Batra 56
Karmelit (Rabbinic domain)	1	1	Shabbat	Shabbat 7
Karmelit (semi-public domain)	1	1	Shabbat	Shabbat 100
Karmelit (unowned public domain)	1	1	Eruvin	Eruvin 87
Karmil (fresh grain)	1	1	Menachot	Menachot 71
karmu paneha batanur (crust formed in oven)	1	1	Menachot	Menachot 78
Karna (Principal of Loan)	1	1	Bava Metzia	Bava Metzia 109
karna mishtabed (principal interconnected)	1	1	Bava Metzia	Bava Metzia 105
Karna's Challenge	1	1	Kiddushin	Kiddushin 45
Karnos (corners of altar)	1	1	Zevachim	Zevachim 37
Karnos (corners of the altar)	1	1	Zevachim	Zevachim 38
Karnot (Horns/Corners)	1	1	Sanhedrin	Sanhedrin 4
Karov (Proximity)	1	1	Bava Batra	Bava Batra 24
Karov (Proximity/Nearby)	1	1	Beitzah	Beitzah 10
Karov (Related/Close)	1	1	Sanhedrin	Sanhedrin 23
Karov (Relative - Acceptable Witness)	1	1	Gittin	Gittin 81
Karov (relative as witness)	1	1	Gittin	Gittin 82
karov (relative)	1	1	Ketubot	Ketubot 18
Karov (Relative, Disqualified Witness)	1	1	Sanhedrin	Sanhedrin 24
Karov (relative, kinship)	1	1	Sanhedrin	Sanhedrin 58
Karov (Relative/Close Connection)	1	1	Sanhedrin	Sanhedrin 10
karov (relative/related)	1	1	Makkot	Makkot 6
karov / pasul (relative / disqualified witness)	1	1	Sanhedrin	Sanhedrin 8b
Karov Karov Kodem (closest relative comes first)	1	1	Bava Batra	Bava Batra 109
Karov L'Meizid (Close to Intentional)	1	1	Bava Kamma	Bava Kamma 27
Karov lamalchus (proximity to government authority)	1	1	Bava Kamma	Bava Kamma 83
Karov Lischar Verachok Lehefsed (High Return, Low Risk Investment)	1	1	Bava Metzia	Bava Metzia 70
Karov V'Nitrachak (Was Close, Now Distant) - Surviving Children	1	1	Sanhedrin	Sanhedrin 29
Karoz (announcer/herald)	1	1	Sanhedrin	Sanhedrin 42
karpaf (enclosed yard, less-used space)	1	1	Eruvin	Eruvin 91
Karpaf (Perimeter Buffer)	1	1	Eruvin	Eruvin 55
Karpas	1	1	Pesachim	Pesachim 116
Karpef (Enclosed Space)	1	1	Bava Batra	Bava Batra 24
Karpef (Fenced Enclosure)	1	1	Beitzah	Beitzah 31
Karpef (Open Lot/Yard)	1	1	Eruvin	Eruvin 22
Karpef (walled enclosure)	1	1	Eruvin	Eruvin 67
Karpif (קרפף) - enclosed lot	1	1	Eruvin	Eruvin 89
Karshena (lambs/sacrifice)	1	1	Megillah	Megillah 12
Karshina/K'adasha measurements	1	1	Bekhorot	Bekhorot 38
karti/chatima	1	1	Gittin	Gittin 4
Kartofnei	1	1	Avodah Zarah	Avodah Zarah 33
kartsuf (wide-toothed comb)	1	1	Pesachim	Pesachim 11
Karut Shofcha (Emasculation/Sterility)	1	1	Sanhedrin	Sanhedrin 21
kasavari rabbanan (as the rabbis hold)	1	1	Eruvin	Eruvin 70
Kasha BedineiMamonos (Difficult Ruling in Property Law)	1	1	Bava Batra	Bava Batra 158
Kasha She-be-Dinei Mamonot (difficult ruling in monetary law)	1	1	Bava Batra	Bava Batra 159
Kashe (difficulty; objection in Gemara)	1	1	Ketubot	Ketubot 63
Kasher (Fit; Valid)	1	1	Zevachim	Zevachim 8
Kasher (kosher)	1	1	Hullin	Hullin 78
Kasher (valid)	1	1	Menachot	Menachot 18
Kasher (valid) offerings despite bal tacher violation	1	1	Rosh Hashanah	Rosh Hashanah 5
Kasher (valid/fit)	1	1	Zevachim	Zevachim 66
kasher (valid/permissible)	1	1	Sukkah	Sukkah 30
kasher / kosher	1	1	Menachot	Menachot 17
Kasher / Pasul (Kosher / Disqualified) - Status of the Korban	1	1	Pesachim	Pesachim 84
kasher / pasul (valid / invalid)	1	1	Zevachim	Zevachim 11
Kasher but not Meratze (valid but doesn't fulfill owner's obligation)	1	1	Zevachim	Zevachim 5
Kasher V'Lo Taaseh (Valid but Inadvisable)	1	1	Gittin	Gittin 67
Kasher Witness (qualified witness)	1	1	Yevamot	Yevamot 117
Kasher/Kashering (purifying vessels)	1	1	Zevachim	Zevachim 96
Kasher/Keshirah	1	1	Zevachim	Zevachim 18
Kasher/Kosher	1	1	Kiddushin	Kiddushin 71
Kasher/Kosher (valid/permitted)	1	1	Menachot	Menachot 69
Kasher/Pasul (valid/invalid)	1	1	Gittin	Gittin 27
Kasherim (virtuous/upstanding men)	1	1	Kiddushin	Kiddushin 81
Kashering	1	1	Avodah Zarah	Avodah Zarah 33
Kashering Glassware	1	1	Shabbat	Shabbat 16
Kashering methods (Hagala, fire, cleaning)	1	1	Avodah Zarah	Avodah Zarah 75
Kashering vessels (kashrut); passing through fire or water	1	1	Shabbat	Shabbat 58
Kashering/Kosher (Making or Determining Fitness)	1	1	Hullin	Hullin 112
Kashrah (fitness for marriage to Kohen) vs. Kedushah (holiness status)	1	1	Yevamot	Yevamot 57
kashrus (dietary laws)	1	1	Gittin	Gittin 44
Kashrus (Fitness for Consumption; Kosher Status)	1	1	Bava Kamma	Bava Kamma 100
Kashrus (Kosher Dietary Laws)	1	1	Hullin	Hullin 5
kashrus (kosher status)	1	1	Bekhorot	Bekhorot 23
kashrus (regular kashrut areas, different rules)	1	1	Bekhorot	Bekhorot 36
Kashrut (dietary laws)	1	1	Hullin	Hullin 8
Kashrut (Dietary Laws)	1	1	Hullin	Hullin 99
Kashrut (Dietary Laws/Permissibility)	1	1	Hullin	Hullin 74
Kashrut and religious compartmentalization	1	1	Bekhorot	Bekhorot 30
Kashrut Certification & Hashgacha	1	1	Hullin	Hullin 18
Kashur Le-Hatznia (fit to be set aside)	1	1	Shabbat	Shabbat 76
Kashus and chaziz (regrowable plants)	1	1	Bava Kamma	Bava Kamma 119
kashya (difficulty)	1	1	Bava Batra	Bava Batra 52
kashya (difficulty/problem)	1	1	Eruvin	Eruvin 70
kashya ve-teretz	1	1	Niddah	Niddah 34
Kaskasin (Scales of fish)	1	1	Keritot	Keritot 21
kaskeset (fish scales)	1	1	Hullin	Hullin 64
Kaspo Lo Natan Beneshech (no usury) - prohibition and habit formation	1	1	Makkot	Makkot 24
Kassi	1	1	Avodah Zarah	Avodah Zarah 33
kasva (Temple Vessel)	1	1	Sanhedrin	Sanhedrin 81
Kasya (Difficulty/Question)	1	1	Makkot	Makkot 5
kat edim (group/unit of witnesses)	1	1	Makkot	Makkot 6
Katafres (Incline/Slope)	1	1	Meilah	Meilah 17
Katan	1	1	Bava Batra	Bava Batra 49
Katan (minor boy)	1	1	Yevamot	Yevamot 112b
Katan (Minor Child)	1	1	Beitzah	Beitzah 12
Katan (minor child)	1	1	Megillah	Megillah 19
Katan (Minor/Heir)	1	1	Shevuot	Shevuot 43
Katan Ben Shesh (Minor Up to Six Years Old)	1	1	Eiruvin	Eiruvin 82
Katan She-Hisio Aviv	1	1	Ketubot	Ketubot 90
Katan shelo kalu chodashav (immature scholar)	1	1	Sotah	Sotah 22
Katan shenolad (born child has no relation to past status)	1	1	Bekhorot	Bekhorot 45b
Katan ve-Higdil (small animal growing large)	1	1	Bekhorot	Bekhorot 36b
Katana (Minor Girl) and Postponement	1	1	Ketubot	Ketubot 58
Katanah/Naarah (minor girl)	1	1	Ketubot	Ketubot 43
Katanim (minors)	1	1	Shekalim	Shekalim 3
Katav Lilvos V'lo Lava (written to borrow but never borrowed)	1	1	Bava Metzia	Bava Metzia 17
Katedra (Throne)	1	1	Ketubot	Ketubot 59
Kategor Sanegur	1	1	Rosh Hashanah	Rosh Hashanah 26
Kattan (Minor)	1	1	Shabbat	Shabbat 153
Katzar (Cutting/Harvesting on Shabbat)	1	1	Keritot	Keritot 15
Katzar V'Tachan (Harvesting and Grinding)	1	1	Shabbat	Shabbat 70
Katzatz (Dispute Over Wage Amount)	1	1	Shevuot	Shevuot 46
Katzatz (Fixed Wages)	1	1	Shevuot	Shevuot 45
katzatz (making purchase deal with owner)	1	1	Bava Metzia	Bava Metzia 89
katzatz damim (fixed price agreement)	1	1	Shabbat	Shabbat 19
Katzir (harvesting) - prior to Omer cutting	1	1	Menachot	Menachot 68
Kav (Measure)	1	1	Bava Kamma	Bava Kamma 58
Kav (Medium Dry Measure)	1	1	Bava Batra	Bava Batra 90
Kav (smaller measure, 1/6 of seah)	1	1	Bava Batra	Bava Batra 104
Kav (Smaller Measure, One-Sixth of Se'ah)	1	1	Menachot	Menachot 77
Kav (Unit of Volume)	1	1	Eruvin	Eruvin 83
Kav (volume measure)	1	1	Nazir	Nazir 49b
Kav (volume measurement)	1	1	Ketubot	Ketubot 64b
Kav and Log (Measures)	1	1	Shabbat	Shabbat 15
kav be'arba amot (measure: one kav in four cubits)	1	1	Bava Metzia	Bava Metzia 21
Kav rashu (in-debt person)	1	1	Sanhedrin	Sanhedrin 29b
Kav Shape (X-Shaped Anointing)	1	1	Menachot	Menachot 75
kav/kavin (measure of volume)	1	1	Menachot	Menachot 78
Kava nidrah	1	1	Kinnim	Kinnim 24
Kava'ah (Fixed/Established Together)	1	1	Zevachim	Zevachim 68
Kavana (Directing Heart/Intention)	1	1	Berakhot	Berakhot 31
Kavana (intent)	1	1	Megillah	Megillah 16b
Kavana (Intent)	1	1	Sukkah	Sukkah 14
Kavana (Intent/Awareness)	1	1	Berakhot	Berakhot 16
Kavana (Intent/Intention)	1	1	Avodah Zarah	Avodah Zarah 56
Kavana (Intent/Intentionality)	1	1	Nedarim	Nedarim 4
Kavana (intent/purpose)	1	1	Bava Metzia	Bava Metzia 72
Kavana (intention in prayer)	1	1	Berakhot	Berakhot 31b
Kavana (Intention) and Its Role in Halacha	1	1	Hullin	Hullin 39
Kavana (intention) in Shema	1	1	Berakhot	Berakhot 15b
Kavana (proper intention/concentration)	1	1	Bava Batra	Bava Batra 165
Kavana/Intent in Prayer (כוונה)	1	1	Berakhot	Berakhot 26b
Kavanah (intent/intentionality)	1	1	Bava Kamma	Bava Kamma 44
kavanah (intention requirement)	1	1	Bava Kamma	Bava Kamma 86
Kavanah (intention)	1	1	Chagigah	Chagigah 20
Kavanah (intention/focus)	1	1	Yoma	Yoma 70
Kavanah (proper intention in shechita)	1	1	Hullin	Hullin 121
Kavanah (כוונה) - Intent in Mitzvot	1	1	Rosh Hashanah	Rosh Hashanah 14
Kavanah - Intent as a Requirement for Fulfilling Ritual Obligations	1	1	Megillah	Megillah 18
kavanah / intent in cooking	1	1	Avodah Zarah	Avodah Zarah 38
Kavanah / Machshava	1	1	Hullin	Hullin 12
kavanah / machshava (intention/thought)	1	1	Menachot	Menachot 2
Kavanah le-Hazik (intent to damage)	1	1	Bava Kamma	Bava Kamma 41
Kavanaso L'Hazik (Intent to Damage)	1	1	Bava Kamma	Bava Kamma 3
Kavanato Lehazik	1	1	Bava Kamma	Bava Kamma 2
Kavanato Lehazik (intention to damage)	1	1	Bava Kamma	Bava Kamma 4
kavannah (intent)	1	1	Shabbat	Shabbat 98
kavannah (intention)	1	1	Avodah Zarah	Avodah Zarah 27
Kavannah (Intention, Intentionality)	1	1	Shabbat	Shabbat 72
Kavannah (Intention/Intent)	1	1	Kiddushin	Kiddushin 11
Kavannah/Machshava (Intent/Thought)	1	1	Zevachim	Zevachim 32
kavda (liver)	1	1	Gittin	Gittin 69
Kaveid (Liver)	1	1	Hullin	Hullin 47
Kavod (Honor) and Its Dangers	1	1	Sanhedrin	Sanhedrin 7b
Kavod (honor, dignity, respect)	1	1	Tamid	Tamid 27
Kavod / Honor	1	1	Kinnim	Kinnim 25b
Kavod Aviv V'Imo (Honor of Parents)	1	1	Nedarim	Nedarim 64
Kavod Ha-Briyot (Human Dignity Override)	1	1	Sanhedrin	Sanhedrin 18
Kavod ha-briyot (human dignity)	1	1	Shevuot	Shevuot 30
Kavod Habriyot (Dignity of Creatures)	1	1	Bava Metzia	Bava Metzia 31
Kavod habriyot (human dignity)	1	1	Bava Kamma	Bava Kamma 81
Kavod HaBriyot (Human Dignity)	1	1	Berakhot	Berakhot 20
Kavod HaMakom (Honor of God)	1	1	Nedarim	Nedarim 64
Kavod HaMeis (Honor of the Dead)	1	1	Moed Katan	Moed Katan 25
Kavod HaMeit (Dignity of the Dead)	1	1	Berakhot	Berakhot 20
Kavod Hamet (honor of the dead)	1	1	Moed Katan	Moed Katan 28
Kavod HaRabim (Honor of the Masses)	1	1	Avodah Zarah	Avodah Zarah 11
Kavod HaRav (respect for one's teacher)	1	1	Eruvin	Eruvin 63
Kavod HaRav (Respect for Rabbi)	1	1	Nedarim	Nedarim 8
Kavod HaTorah (honor of Torah)	1	1	Shevuot	Shevuot 30
Kavod HaTorah (Honor of Torah/Torah Scholar)	1	1	Shevuot	Shevuot 31
Kavod HaTzibbur (Congregational Honor)	1	1	Gittin	Gittin 60
Kavod Shabbat (honor of Shabbat)	1	1	Shabbat	Shabbat 25
Kavod Shabbat (honoring Shabbat)	1	1	Shabbat	Shabbat 113
Kavod Shamayim (Honor of Heaven)	1	1	Sanhedrin	Sanhedrin 85
kavod Torah (honor of Torah)	1	1	Ketubot	Ketubot 106
Kavod Yom Tov Acharon	1	1	Sukkah	Sukkah 48
Kavodo of Kohen Gadol (honor)	1	1	Yoma	Yoma 45
Kavsah Ein Zakuk Lah (if it burns out, no obligation to relight)	1	1	Shabbat	Shabbat 21
Kavsah Zakuk Lah (if it burns out, obligation to relight)	1	1	Shabbat	Shabbat 21
Kavua (Fixed Place)	1	1	Nazir	Nazir 12
Kavua (Fixed Position)	1	1	Niddah	Niddah 18
Kavua (fixed presence) and mechtzah al mechtzah (50-50 assessment)	1	1	Sanhedrin	Sanhedrin 79
Kavua (fixed/definite status in case of doubt)	1	1	Bava Kamma	Bava Kamma 44
Kavuah (Fixed/Stationary)	1	1	Kiddushin	Kiddushin 73
Kavuah vs. Parush (Fixed Location vs. Separated)	1	1	Ketubot	Ketubot 15
Kavul (Headscarves)	1	1	Shabbat	Shabbat 64
Kavush (Pickled)	1	1	Nedarim	Nedarim 51
Kavush (under one's control/subjugation)	1	1	Pesachim	Pesachim 5
Kavvana (Intentionality) in Service	1	1	Menachot	Menachot 50
Kavvanah (intentionality)	1	1	Menachot	Menachot 49b
Kayam / Intact	1	1	Hullin	Hullin 43
Kayama (Permanence)	1	1	Shabbat	Shabbat 111
Kayatz (Fixed/Determined Value)	1	1	Kiddushin	Kiddushin 8
Kayitz (Harvest/Summer Picking)	1	1	Nedarim	Nedarim 61
Kayitz HaMizbe'ach (Voluntary burnt offerings)	1	1	Shekalim	Shekalim 10
Kayitz HaMizbeach	1	1	Shekalim	Shekalim 11
Kayitz HaMizbeach (Altar Maintenance Fund)	1	1	Shekalim	Shekalim 18
Kayitz Hamizbeach (altar's operation during slow times)	1	1	Menachot	Menachot 90
Kayitz Hamizbeach (keeping altar active with excess funds)	1	1	Shevuot	Shevuot 12
kayitz hamizbeach (keeping altar busy)	1	1	Ketubot	Ketubot 106
Kazayit (olive-size measure)	1	1	Shekalim	Shekalim 9
Kazayit (כזית) - Olive's Bulk	1	1	Rosh Hashanah	Rosh Hashanah 14
kazayit bichdei achilas pras	1	1	Pesachim	Pesachim 43
Kbashim (Pickled Vegetables)	1	1	Shabbat	Shabbat 145
Kbisat Begadim (Laundry)	1	1	Bava Batra	Bava Batra 57
Kdei Achilas Pras	1	1	Keritot	Keritot 13
Kdei Achilas Pras (Time to Eat Half a Loaf)	1	1	Eruvin	Eruvin 4
Kdei achizah grasping measure	1	1	Hullin	Hullin 123
Kdei Chayei / Parnassa (כדי חיי / פרנסה)	1	1	Gittin	Gittin 62
kdei l'hamid kari (enough for a stack)	1	1	Bava Metzia	Bava Metzia 105
kdei nefilah (seed for re-planting)	1	1	Bava Metzia	Bava Metzia 105
kdeira (cooking pot)	1	1	Bava Batra	Bava Batra 63
Kdushat Damim (Value-Based Sanctification)	1	1	Kiddushin	Kiddushin 7
Kdushat Haguf (Bodily Sanctification)	1	1	Kiddushin	Kiddushin 7
Kdushat Kli	1	1	Menachot	Menachot 79
Ke'adasha (lentil bean size)	1	1	Niddah	Niddah 43
Ke'Adasha (Lentil-sized Measure)	1	1	Meilah	Meilah 17
Ke'adasha as Measure for Sheratzim	1	1	Meilah	Meilah 16
Ke'afra d'ara (like dust of the earth)	1	1	Pesachim	Pesachim 6
ke'briato (in natural state)	1	1	Makkot	Makkot 17
Ke'ein panim (like Temple worship)	1	1	Avodah Zarah	Avodah Zarah 50
Ke'ein panim (like the Temple service)	1	1	Avodah Zarah	Avodah Zarah 51
Ke'ein Ta'ar (Something Like a Razor)	1	1	Nazir	Nazir 40
Ke'le'achar Yad (Done in Unusual Way)	1	1	Bekhorot	Bekhorot 24
Ke'Yotzei Bahen (Same Category/Law)	1	1	Bava Kamma	Bava Kamma 3
Ke-ein Mitah (Like the Moment of Death)	1	1	Hullin	Hullin 74
Ke-Katan Ke-Gadol (Small and Great)	1	1	Sanhedrin	Sanhedrin 7b
ke-midbar (like wilderness - ownerless property)	1	1	Bava Batra	Bava Batra 55
ke-orchin (like guests)	1	1	Eruvin	Eruvin 70
Keasher Yuram Mishor Zevach Hashelamim	1	1	Zevachim	Zevachim 49
Kebaitza (Egg's measure—measure of food susceptibility)	1	1	Keritot	Keritot 21
Kebeitza (egg-sized measure)	1	1	Yoma	Yoma 80
kebeitzah	1	1	Zevachim	Zevachim 31
kebeitzah (egg-volume measure)	1	1	Sotah	Sotah 30
Kebetzah (egg-sized measure)	1	1	Pesachim	Pesachim 85
Kebolo Kach Polto (As Absorbed, So Expelled)	1	1	Avodah Zarah	Avodah Zarah 76
kechamur shabahen / eat according to strictest rule	1	1	Zevachim	Zevachim 75
Kechatzos — Moshe's Imprecision	1	1	Berakhot	Berakhot 4
Kecheveda (Like Liver)	1	1	Hullin	Hullin 47
Kechuchla (Blue)	1	1	Hullin	Hullin 47
Kechut Hasa'arah (Hair-Width Hole)	1	1	Hullin	Hullin 126
