preferred_canonical	merged_from	before_daf_count	after_daf_count
Malchus (divine kingship)	Malchut (kingship); Malchuta (kingship)	1	3
Malchus Paras (Persian kingdom)	Malchut Paras (Persia's dominion)	1	2
Malchus Yavan (Greek kingdom)	Malchei Yavan (Greek kings)	1	2
Malchut HaResh'ah (Rome)	Malchut Romi (Rome's dominion)	1	2
Malei and Chaseir (full and defective months)	Malei vs. Chaser (full vs. defective spelling)	1	2
Malkes (rabbinic flogging)	Malkos (lashes); Malkot (lashes)	1	28
Mammon (monetary property)	Mammon (money); Mammon (money/monetary obligation); Mammon (property)	2	12
Mammon HaMutal B'Safek (money in doubt)	Mammon HaMutal B'Safek Cholkin (money in doubt is divided); Mammon Hamuttal B'Safek (doubtful monetary case); Mamon Hamutal B'Safek (money suspended in doubt)	2	7
Mammon Hedyot (private property)	Mamon Hedyot (private property)	1	2
Mammon vs. Nefashot (monetary and capital crimes)	Mammonot vs. Nefashot (monetary matters vs. capital crimes)	1	2
Mamon Hamazik (property causing damage)	Mamono Hamazik (one's damaging property)	2	3
Mamon Hazik (damaging object)	Mammon HaMazik (liability of damager's property)	1	2
Mamon Hedyot vs. Mamon Gavoah (private vs. temple property)	Mammon Gavoah vs. Mammon Hedyot (God's property vs. private property); Mammon Gavoah vs. Mammon Ba'alim (God's property vs. owner's property)	1	3
Mamon She'ein Lo Tov'in (property with no presumed owners)	Mammon She'ein Lo Tovin (property with no claimant)	1	2
Mamona (money/property)	Mamona (compensation)	3	4
Mamzer (illegitimate)	Mamzer (illegitimate child)	56	57
Mamzerim (illegitimate children)	Mamzerim (illegitimate offspring)	8	9
Manasseh (king of Judah)	Manasseh (wicked son)	1	2
Manna (manna from heaven)	Man (manna)	3	4
Mareh Dam (appearance of blood)	Mareh dam (appearance of blood); Mareh damim (appearance of blood)	1	3
Mareh Makom (presumption of place)	Mareh makom (presumption of place)	2	5
Margin specifications in parchment	Margins in parchment	1	2
Maris Ayin (appearance of impropriety)	Marit Ayin (appearance of wrongdoing)	0	6
Markiv (grafting)	Markivin Dekalim (grafting palms)	1	2
Masa (carrying)	Masa (burden); Masa (weight); Masa in impurity law (carrying)	2	5
Masechet Shabbat (tractate on Sabbath)	Masechet Shabbat parallel structure	1	2
Mashal (parable)	Mashal — four cups of milk with drops of blood; Mashal — traveler in darkness; Mashal — two kings and two officers	3	6
Mashiach (Messiah)	Mashiach (Messiah) and depletion of souls	17	18
Mashkanta (collateral)	Mashkanta B'Lo Nechiyata (mortgage without deduction); Mashkanta de-Sura (collateral in Sura)	5	8
Mashkeh (liquid status)	Mashkeh Haba Le'ochel (liquid intended for food)	2	3
Mashkim (liquids)	Mashkim Bi'Kelim (liquids in vessels); Mashkim Shezavu (flowing liquids); Mashkim Tmayim (defiled liquids)	4	7
Mashkon (collateral)	Mashkon (pledge)	20	21
Matan Torah (Giving of the Torah at Sinai)	Matan Torah (Revelation at Mount Sinai); Mattan Torah (giving of Torah)	12	14
Matana al Menat Lehachzir (conditional gift with return condition)	Matnat Al Menat L'Hachzir (gift with condition to return)	6	7
Matanot kehuna (priestly gifts)	Matanot Kehunah (gifts of the kohanim); Matnas Kehuna (priestly gifts from sacrifices); Matnat Kehunah (priestly gift); Matnot Kehunah (priestly gifts)	10	19
Matir (permitting element)	Matir (permitting/undoing); Matir (thing that permits remainder to be eaten)	15	19
Matne Al Mah Shekatuv BaTorah (stipulations against Torah law)	Matne Al Mah Shekatuv BaTorah (stipulating against Torah law)	0	2
Matza (unleavened bread)	Matzah (unleavened bread)	1	23
Matzah and Marror	Matzah Umaror (unleavened bread and bitter herbs)	1	2
Matzah De'Oraita (biblical obligation for matzah)	Matzah Tihiyeh (obligation, not merely mitzvah)	1	2
Matzah in Pesach	Matza in unleavened	1	2
Mav'eh (ambiguous category)	Maveh (ambiguous category)	1	2
Mavoi (alleyway)	Mavui (alley/courtyard passage)	20	21
Mavoi (cross-beam at alleyway)	Mavoi (alleyway) structure	1	2
Mavoi satum (dead-end alley)	Mavoi akum (bent alleyway)	1	3
Mavrich (underground vine training)	Mavrich (bending branch underground to create new plant)	1	2
Mayim Chayim (living water)	Mayim chayim (living water); Mayim Chayim (living waters)	6	8
Mayim Rishonim and Mayim Acharonim	Mayim Rishonim (first hand washing); Mayim Acharonim (final hand washing)	1	11
Mayim She'uvim (drawn water)	Mayim Shu'uvim (drawn water)	5	6
Me'akev (essential/invalidating)	Me'akev (essential/preventing validity); Meakev (invalidating condition); Meakev (invalidating factor)	25	30
Me'akev Kaparah (impeding atonement)	Meakev Kapara (invalidating atonement)	1	2
Me'akvin (invalidating factors)	Me'akvin zeh et zeh (prerequisites invalidating each other)	2	3
Me'arah (cave)	Me'arah (initial penetration); Mearah (covered well/cave)	1	3
Me'ein (analogous blessings)	Me'ein Shemoneh Esrei (abbreviated prayer)	1	2
Me'et le'et (24 hours)	Me'et le'et (precise time measurement); Me'es le'es (24-hour concern)	3	5
Me'ikara (from the beginning)	Me'ikara (initial bid)	1	2
Me'ila (misappropriation)	Me'ila (misuse of sacred property)	1	80
Me'una (refusal of minor wife)	Me'un (refusal of minor wife)	0	1
Measure Conversion and Standardization	Measure Conversion (Midbarit to Yerushalmi)	1	2
Meat and Wine (Basar v'Yayin)	Meat and Wine Requirements; Meat and Wine Specificity	1	3
Mecha'ah (formal protest against possession)	Mechah (formal protest/announcement); Mecha'ah Shelo Befanav (objection not in person); Mechah Shelo Befanav (objection not in person)	2	7
Mecha'ah / Hitkadeshot (objection / reversal)	Mecha (protest/objection)	1	2
Mechaleik Nechasav (distributing one's property)	Mechaleik (distributing entire property)	1	2
Mechallel Shabbat (Shabbat violator)	Mechallel Shabbat BeParhasiah (public Shabbat violator)	6	7
Mechameitz achar Mechameitz (leavening after leavening)	Mechametz Achar Mechametz (leavening after it's already leavened)	1	2
Mechamer (having animals work)	Mechamer (leading donkey on Shabbat)	1	2
Mechapeir (atoning)	Mechapper (atoning)	1	2
Mechar (sale)	Mechar (sell); Mecher (sale)	1	6
Mechaye Metim (revival of the dead)	Mechaye hameitim (reviver of the dead)	1	2
Mechila (forgiveness/waiver)	Mechilah (forgiveness)	24	26
Mechila (forgiveness/waiver) before and after injury	Mechila Be-Ta'us (forgiveness in error)	1	2
Mechira (sale)	Mechira (sale) restrictions	7	8
Mechitza (partition)	Mechitza (partition/wall); Mechitza (walled enclosure); Mechitzah (partition)	1	40
Mechitza in Shabbat (partition)	Mechitza (partition) in status affixing vs. eating requirement	1	2
Mechitza Teluyah (suspended wall)	Mechitza Tluyah (suspended wall)	2	3
Mechubad vs. Mevuzeh (honorable vs. disgraceful objects)	Mechuar ha-Davar (unseemly thing)	1	2
Mechubar (attached)	Mechubar (attached document); Mechubar (attached to parchment)	1	3
Mechubar le-Karka (attached to ground)	Mechubar le-Karka in Shabbat (attached to ground)	17	18
Mechusar Kippurim (one awaiting final purification)	Mechusar Kippurim (one missing atonement)	14	15
Mechusar Ma'aseh (lacking action)	Mechusar ma'aseh (lacking action)	0	1
Mechusar Zeman (lacking proper time)	Mechusar zman (lacking time)	10	11
Mechuza (cosmopolitan city)	Mechuza	5	7
Mechzi k'shikra (appearing false)	Mechzei Ke-Ribbit (appearance of interest)	1	3
Medicinal Treatment (refu'ah)	Medicinal Preparation (refuah); Medicine (samma)	1	3
Medinat u-Medinat (city to city)	Medina to Medina	1	2
Mefagel (one who creates pigul)	Mefalgin be-Chatzi Matir (creating pigul with half a matir); Mefaglin be-Chatzi Matir (creating pigul with half a matir)	1	3
Mefateh (seducer)	Mefateh (seduction)	2	3
Mefutah (seduction)	Mefuta (seduced woman)	1	2
Megadef (blasphemer)	Megadef (blasphemer) and Verbal Acts	8	9
Megilla (scroll)	Megilla (scroll of Esther)	8	15
Megoreshet (divorced woman)	Megureshes (divorced woman status)	3	4
Mehadrin min ha-Mehadrin (most enhanced observance)	Mehadrin vs. Mehadrin min ha-Mehadrin	1	2
Mei Chatat (waters of purification from red heifer)	Mei Chatat and eifer parah (red heifer waters and ashes)	5	6
Mei nidah (mikvah waters)	Mei me'arah (cave water/mikvah water)	1	2
Meila (misappropriation of sacred property)	Meila (misuse of consecrated property)	10	30
Meis (corpse)	Meis (corpse) and impurity	5	6
Meisit (one who seduces to idolatry)	Meisis (one who seduces to idolatry)	3	4
Meitav ha'aretz (best of the land)	Meitav (best quality)	1	4
Meitav sadeihu u'meitav karmo (best field and vineyard)	Meitav sadeihu (best field)	1	5
Meitzar shehecheziku (established boundary marker)	Meitzar (boundary marker)	1	3
Mekabel tumah (susceptible to impurity)	Mekabel Tumah (susceptibility to impurity)	16	17
Mekach u'Memkar (purchase and sale)	Mekach (purchase); Mekach (sale); Mekach U'Mimkar (buying and selling)	7	11
Mekalkel b'Havara (destructive action with fire)	Mekalkel (destructive action)	1	6
Mekayem (affirms)	Mekayem Devarav (fulfilling words conditionally)	3	4
Mekosshesh (wood gatherer)	Mekoshshesh (wood gatherer on Shabbat)	2	3
Mekoum Patur (exempt location)	Mekomah Patur (exempt space)	2	3
Mekudash (sanctified)	Mekudash (sanctified by court)	3	4
Mekudeshet (betrothed)	Mekudeshet (married woman status)	4	5
Mekushar (tied document)	Mekushar (sewn/bound get)	3	4
Melach Sedomit (salt of Sodom)	Melach Sedomis (Sedom salt)	2	3
Melacha (creative work prohibited on Shabbat)	Melacha (creative labor); Melacha (creative work); Melacha (primary acts of creative work)	3	38
Melacha on Shabbat (cooking)	Melacha on Shabbat (violating for pikuach nefesh)	1	2
Melachot (categories of work)	Melachim (Kings)	7	8
Melicha (salting to remove blood)	Melicha (salting); Melting (salting)	3	5
Melika (breaking bird's neck)	Melikah (pinching of bird's neck)	16	28
Melo Chofnav (full of both hands)	Melo Chofnav (fullness of hands); Melo Chofnov (fill of hands)	2	4
Menachamim (comforters)	Menachem Aveilim (consoler of mourners)	1	2
Menachat kohanim (free-will meal offering wholly burned)	Menachat kohen mashiach (mandatory meal offering of high priest)	1	2
Menika (nursing woman)	Meneket (nursing woman)	3	4
Menudeh Lashamayim vs. Menudeh Labriyot (heavenly vs. communal excommunication)	Menudeh (excommunicated person); Menudeh ani lach (excommunication formula)	1	5
Merachemet (lactation)	Merachemet (compassion leading to lactation)	1	2
Merchatz (bathhouse)	Merhatze'ot (bathhouse ordinance)	3	4
Merkavah (Divine Chariot)	Merkavah vision and heavenly fire	2	3
Merkulis (idol)	Merkolis	7	8
Merubahot (square measurement)	Merubaat (squared/rectangular)	1	3
Mesadrim L'Baal Chov (arrangements for debtor)	Mesadrim (arrangers) in Rambam's ruling; Mesadrin (arrange/leave basic necessities)	1	3
Meshale'ach intent vs. Shaliach autonomy	Meshaleches ve'eina chozeres (woman leaves and does not return)	1	2
Meshalem mah she-nehenis (payment according to benefit received)	Meshalem Al Pi Atzmo (voluntary self-payment)	1	2
Meshame'ach chatan ve-kallah (gladdening groom and bride)	Meshameit Ani (I release you)	1	2
Meshauach Milchama (war-anointed priest)	Meshiach Milchama (war-anointed priest); Meshuch Milchama (priest addressing troops)	1	3
Mesheteh ani bach (I was only joking)	Meshahta ani bach (I was only joking)	1	2
Meshicha (pulling/dragging as mode of acquisition)	Meshicha (taking possession); Meshicha (drawing/flowing of liquid)	39	41
Meshicha and Hagbah (acts of possession)	Meshicha by Rabbinic Enactment (acquisition by drawing)	1	2
Meshivas Nefesh (soul-settling)	Meshivas Hanefesh (settling the soul)	1	2
Meshkan (Tabernacle)	Meshkan defilement (sanctuary defilement)	1	2
Meshorer and Shorer (crossing roles)	Meshorerim and Shoareim (singers and gatekeepers)	1	2
Meshu'abadim vs. B'nei Chorin (liened vs. free property)	Meshu'abad (property encumbered with tenant rights); Meshubad (encumbered property); Meshubed (property rights)	1	10
Mesira (informing to government)	Mesira (handing over)	1	7
Mesorah (tradition)	Mesora vs. Logic (tradition vs. reasoning)	15	19
Messianic times and World to Come	Messianic era; Messianic times in Rambam's position	2	8
Mesuleket damim (woman with intermittent bleeding)	Mesulakat Damim (woman with no expected periods); Mesuleket Damim (woman without regular periods)	1	9
Met (corpse)	Met (dead body); Met (corpse) tumah (impurity)	2	5
Metal vessels	Metal vessels (scouring and rinsing); Metal vessels tumah (impurity) rules	3	5
Metaltelin (movable property)	Metaltelim (chattel); Metaltelim in kesuvah collection	14	29
Metaltelin vs. Karka (movable property vs. land)	Metaltelin vs. Matbeah (movable property vs. coins)	1	2
Metamei (causes impurity)	Metamei (sources of impurity); Metame (imparts impurity)	1	3
Metamei Begadim (impurifies clothing)	Metamei Begadim (impurity of garments)	1	2
Metamei me-et le-et (retroactive concern 24 hours back)	Metame'ah me-et le-et (retroactive concern 24 hours back)	0	1
Meturgeman (interpreter)	Metargem (interpreter/translator)	1	2
Metzamtzem (contained/narrow)	Metzamtzem (restricting/preventing escape)	1	2
Metzar (boundary/dividing line)	Metzar (established path)	1	2
Metzarim (borders)	Metzer (border mound)	1	2
Metzia (finding a lost object)	Metziah (found object); Metzaah (finding/acquisition)	1	14
Metzitzah B'Peh (oral suction in brit milah)	Metzitzah (suction in brit milah)	1	2
Metzora (person with tzaraat/leprosy)	Metzora (leper)	29	59
Metzora in purification	Metzora purification parallels	1	2
Metzora in shaving	Metzora shaving; Metzora shaving obligation; Metzora shaving with razor	0	3
Mevuot hamefulashin (open-ended side streets)	Mevuot hamefulashos (open alleys to another city)	1	2
Mezid (intentional)	Mezida (intentionality)	14	16
Mezid vs. shogeg (intentional vs. unintentional)	Mi-d'oraita versus mi-derabbanan (biblical versus rabbinic law)	4	6
Mezonot (alimony/support)	Mezonot (food support obligation); Mezonot (obligation to feed); Mezonot (spousal and daughter support); Mezon isha u-banos (support for wife and daughters)	6	24
Mezonot in family relations (support obligation)	Mezonot in spousal relations (food support obligation); Mezonot in widowhood (food support obligation)	1	7
Mezugas yayin (mixed wine)	Meziga (mixing wine)	1	2
Mezuzah in writing requirements (form and content)	Mezuzah in writing requirements (content and form); Mezuzah in writing requirements (formatting rules)	1	3
Mi she'anah (response formula in blessings)	Mi She'ana (blessing formula)	1	2
Mi ShePara (curse for breaking one's word)	Mi ShePara in transaction law (payment and finality)	6	7
Mi'un (minor's refusal of marriage)	Miaun (option to annul marriage)	13	16
Mi-d'oraita (biblical law)	Mi-derabbanan (rabbinic law)	1	2
Mibe'od Yom (before nightfall on the 14th)	Mibe'od Yom (from afternoon onward)	1	2
Michael (angel, Sar Melitz)	Michael (angel)	1	3
Michal (David's wife)	Michal bat Saul	1	2
Michezi k'ribbit (appears as interest)	Michezei K'Shikra (appearance of falsity in advance writing); Michzi K'Shikra (appears as falsehood)	1	4
Midat Ha-Din (attribute of justice)	Midat HaDin (attribute of justice); Middat hadin (attribute of justice); Middat HaDin (divine justice)	1	5
Midat HaRachamim (attribute of mercy)	Middat harachamim (attribute of mercy)	1	2
Midat Havalesh (dry measure)	Midat Yavesh (dry measures); Midot Yavesh (dry measures in Temple)	0	2
Midat Lach (liquid measures)	Midat Halach (liquid measure)	1	2
Midat Sodom (selfish attitude)	Middat Sdom (Sodom's measure)	3	4
Middah (divine attribute, measure)	Midah (measuring vessel, cup)	1	2
Midrash (homiletic interpretation)	Midrash	1	2
Midrashei Halacha (halakhic exegesis)	Midrash Halacha (hermeneutical derivation of law)	2	4
Migo (argument from alternative possibility)	Migo (argument from stronger position); Migo (as a safeguard); Migo (if you could have made stronger claim, weaker one believed); Migo (inferential logic); Migo (logical inference); Migo (presumption from alternative statement); Migo (refutation by alternative claim)	24	31
Migo (self-serving admission)	Migo (reinterpretation of words); Migo (self-contradiction)/Mouth that prohibits and permits; Migo (stronger alternative claim); Migo (transferred negligence doctrine); Migo (why would he lie)	1	6
Migu (argument from capacity)	Migu (by this reasoning)	4	6
Mikdash (Temple)	Mikdash (Holy Temple)	9	10
Mikvah (ritual bath)	Mikva (ritual bath); Mikva (ritual bath; forty se'ah standard)	50	66
Milchama (war)	Milchama (war context)	1	2
Milchemet Chovah (obligatory war)	Milchemet Mitzvah (obligatory war)	1	2
Milchig vs. Fleishig (dairy vs. meat)	Milchig (dairy)	2	4
Milsa d'avida legluya (matter easily revealed)	Milta d'Avida l'Igluyei (matters come to light naturally)	1	2
Milsa DeShchicha (common case)	Milta D'Lo Shchiach (uncommon circumstance)	1	3
Milveh (loan)	Milveh (loan) vs. Pikadon (deposit)	10	11
Milveh Al Peh (oral loan)	Milveh Al Peh (oral loan) vs. Milveh B'Shtar (documented loan)	2	3
Mimatah L'Maala (bottom to top)	Mima'ala L'Matah (top to bottom)	1	2
Min (heretic) and biblical disputation	Min (sectarian heretic)	1	7
Min B'She'eino Mino (different type)	Min b'shelo mino (different category mixed)	4	5
Min Ha'Ta'ana (corresponding to the claim)	Mimin Echad (one type)	1	2
Mina Hani Milei (where do we derive this from?)	Mina Hani Mili (source for this matter)	1	2
Mincha (afternoon prayer and offering)	Mincha (afternoon prayer); Mincha (meal offering)	2	66
Mincha Gedola (early afternoon prayer)	Mincha Gedola and Mincha Ketana in prayer	1	2
Minchat Kohen Mashiach (anointed priest's meal offering)	Minchat Kohanim (priest's meal offering)	6	14
Minchat Mercheshet (fried meal offering)	Mincha Machavat (pan-fried meal offering); Mincha Revucha (oil-boiled meal offering)	2	4
Minhag (custom)	Minhag (accepted practice); Minhag (custom) and its binding nature	16	19
Minhag Avot (ancestral custom)	Minhag Avoteihen (custom of ancestors); Minhag Avoteihem Bi'yedeihem (following ancestral custom)	1	3
Minhag Ha-Medina (local custom)	Minhag Ha-Makom (custom of the place); Minhag Ha-Olam (accepted custom)	5	11
Minim (heretics)	Minim (species); Minim in praying eastward	7	9
Minor (katan)	Minor (katan) and bar/bat mitzvah; Minor (katan) excluded from testimony; Minor (katan/ketanah) in Kiddushin	3	6
Minors	Minor children/slaves and eating rights; Minors and slaves under parental/master control; Minors at age of chinuch	1	4
Minyan (prayer quorum)	Minyan (quorum of ten)	11	12
Mipkida Lifkida (concerned since last checking)	Mipkidah L'Fkidah (from last check to check)	1	2
Miriam's Leprosy	Miriam and the Seven-Day Punishment; Miriam precedent (seven days); Miriam's Tzara'at and Divine Justice	1	4
Mirpeset (balcony)	Mirpeset (platform over water)	5	6
Miscarriage	Miscarriage (Nefalim); Miscarriage (Nefel)	1	4
Mishkav u'Moshav (lying and sitting vessels causing impurity)	Mishkav (impurity from lying)	8	9
Mishkevei Isha (types of intercourse)	Mishkavot (types of intercourse)	2	3
Mishmarot (priestly watches)	Mishmar (priestly watch); Mishmar HaMitakev (priestly holding-over group)	3	9
Mishna	Mishna (Tannaitic teaching)	3	42
Mishna Rishona vs. Mishna Achrona (early vs. late Mishna)	Mishnah Rishona vs. Mishnah Acharona (first vs. later teaching)	1	2
Mishna vs Baraita authority	Mishna, Gemara, and Baraita	1	2
Mishneh Torah (Rambam's codification)	Mishneh Torah (Book of Deuteronomy)	1	3
Mishpachat Av (patriarchal family)	Mishpachat Av Kruya Mishpacha (patriarchal family called family)	2	3
Mishpat (judgment)	Mishpat (judgment; court ruling); Mishpat (justice; rightful judgment)	1	3
Mishpat Shalom (judgment of peace)	Mishpat shalom (judgment of peace)	1	2
Mishrat Anavim (poor person's bread soaked in wine)	Mishrat (bread dipped in wine)	2	3
Mishtameret in property law (property guarded by woman)	Mishtameret (guarded; protected place)	1	2
Mishtarshe Leh (benefited from unwitting contribution)	Mishtar'sha lei (benefited from unwitting contribution)	1	2
Mishulchan gavoa in priestly consumption (kohanim eating sacrifice meat)	Mishulchan gavoa (eating from God's table)	1	3
Misnamnem (dozing; state of partial sleep)	Misnamnem (dozing while reading; partial consciousness)	1	2
Mitah (bed)	Mittah (bier/funeral bed)	1	2
Mitah bidei shamayim (death by heavenly hand)	Mitat Bidi Shamayim (death by divine hand)	1	2
Mitkavein (intent)	Mitzvah shelo lishmah (commandment without proper intent)	3	4
Mitkayem (lasts/endures)	Mitekayyem (lasting/permanent)	3	4
Mitot beit din (capital punishments)	Mitot Shebatorah (death penalties in Torah)	1	2
Mitzora (leper)	Mitzrayim (Egypt)	2	3
Mitzta'er (discomfort)	Mitzta'er (one who suffers)	1	3
Mitztarfin (combining)	Mitztarfin (combining holes)	7	8
Mitzui (squeezing)	Mitzui Dam (squeezing out blood)	1	2
Mitzvah (commandment)	Mitzva (commandment); Mitzvah (commandment; religious obligation)	19	25
Mitzvah Aseh (positive commandment)	Mitzva Aseh (positive commandment); Mitzvat aseh (positive commandment); Mitzvot aseh (positive commandments)	1	6
Mitzvot mevatlet zu et zu (commandments negate one another)	Mitzvot Not Mevatel (commandments do not invalidate)	1	2
Mitzvot tzrichot kavanah (commandments require intention)	Mitzvot lo tzrichot kavanah (commandments do not require intention)	1	2
Miun (refusal of minor bride)	Miyunin (refusal of marriage)	7	8
Miut (minority possibility)	Miyut (minority)	3	4
Mivla'ut (absorption within boundaries)	Mivla'at (absorbed)	1	2
Mixing bloods (dam hapar and dam hase'ir)	Mixed blood (midam of par and se'ir)	1	2
Miyom Leyom (day by day)	Miyom El Yom (from day to day)	2	3
Mizbe'ach (altar)	Mizbeach (altar)	2	40
Mizbeach HaChitzon (outer altar)	Mizbeach HaOlah (outer altar)	4	8
Mizbeach HaPnimmi (inner altar)	Mizbeach Ketoret (incense altar)	4	5
Mizbeach location and construction	Mizbeach location; Mizbeach measurements; Mizbeach dimensions	1	6
Moach (marrow)	Mocha	2	3
Mochel (waiver of rights)	Mocheh (protesting)	4	8
Mocher (seller)	Mocher (seller) prerogative	1	2
Mocher Be'ayin Yafah Hu Mocher (seller gives generously)	Mocher Be'ayin Yafa (seller with favorable interpretation)	1	2
Moda'a (declaration under duress)	Modaa (protestation under duress)	4	5
Modeh b'miktzat (admitting part of a claim)	Modeh (admission)	3	4
Modeh Be'Knas Patur (admission to penalty exempts)	Modeh Be'Knas (admission to penalty)	4	7
Modeh Be'Shtar She'Ketavo (admits written obligation)	Modeh Be'Shtar She'Ketavo Ein Tzarich Lekaymo (admission without validation)	2	3
Modi'in (region near Jerusalem)	Modi'in and boundaries; Modi'in geography and pottery vessels	1	3
Modim (thanksgiving)	Modim Modim (double thanksgiving blessing)	5	6
Mohar (betrothal gift)	Mohar Habtulot (betrothal gift for virgins)	4	5
Molech	Molech worship (child sacrifice)	3	4
Molid (creating something new)	Molid in Shabbat (creating something new on Shabbat)	1	2
Mored (man rebelling/refusing duties)	Mored (husband refusing responsibility)	1	2
Moredet (rebellious wife)	Mored/Moredet (rebellious spouse)	3	4
Moser (informant to non-Jewish authorities)	Moser (informer)	1	4
Moses	Moshe	14	40
Moshav (seat of impurity)	Moshav (place of sitting); Moshav and Midras (seat and cushion impurity)	1	3
Mosif (adding)	Mosif (adding beyond authorization)	1	2
Motar Pesach (leftover Pesach)	Motar Pesach (surplus Passover)	2	3
Motzaei Shabbat (end of Sabbath)	Motzei Shabbat (end of Sabbath)	2	5
Motzei Shemita (end of Sabbatical year)	Motzaei Shevi'it (end of Sabbatical year)	1	2
Mu'ad (forewarned animal)	Muad (habitual goring ox); Muad (habituated ox)	16	18
Muchzak (presumptive possession)	Muchzak (one in possession)	11	17
Muktzah (set aside items)	Muktzah (set aside); Muktzeh (set aside before Shabbat); Muktzeh (set-aside items)	54	70
Muktzeh Machmas Issur (set-aside due to prohibition)	Muktzah Machmat Issur (set aside due to prohibition)	1	3
Muktzeh Machmas Mius (set-aside due to disgust)	Muktzah Machmat Miut (set aside due to disgust)	2	5
Mules and Hinnies (hybrid animals)	Mule (hybrid animal); Mule and human breeding in kilayim	1	3
Mum (blemish)	Mum (blemish in sacrificial law)	68	69
Mum Over (transitory blemish)	Mum over (transitory blemish)	1	3
Mumar le'hachis (apostate from principle)	Mumar Lehachis (apostate acting out of spite)	1	2
Mumche (expert)	Mumche l'din (expert judge)	11	12
Murder (rotzeach)	Murder	1	2
Musaf (additional offering)	Musaf in reciting verses; Musaf Korban in Yom Kippur; Musaf prayer timing in Rosh Hashanah	17	20
Mushba Ve'Omed (already sworn)	Mushba vs. Nishba (oath imposed vs. self-sworn)	10	11
Mutar (permissible)	Mutar vs. Assur (permitted vs. forbidden)	2	3
Mutar b'Hanaa (permitted to derive benefit)	Mutar Be'Achilah (permitted for eating)	1	2
Muzzling (Chasima)	Muzzling the Ox in paradigm for lashes	1	2
Na (raw/undercooked)	Na (rare/undercooked); Na (raw) versus Mvushal (cooked); Na (raw/undercooked) versus Tzali Esh (roasted)	0	3
Na'al, Gadar, u'Faratz (improving the land)	Na'al, Gadar, Paratz (locking, building, opening)	1	3
Na'arah Me'orasah (betrothed young woman)	Na'arah Me'orasah (betrothed maiden) and father's control	16	17
Na'arah versus Ketanah debate	Na'arah status	2	4
Nach (came to rest)	Nach versus Lo Nach (settled or did not settle)	2	4
Nachala (inheritance)	Nachala versus Yerusha (inheritance)	6	8
Nachas ruach (satisfaction/waiving rights)	Nachat ruach (satisfaction of will)	1	2
Naki (innocent)	Naki (innocent/clean)	1	2
Nanasim (posts with hooks)	Nanasim (dwarfs)	1	3
Naomi and Ruth	Naomi	1	2
Nasa V'Natan B'Yad (direct transfer)	Nasaa v'natan (did business after the fact); Nasav ve-Natan Beyad (physical transfer); Natal v'Natan B'Yad (handed over with hand)	1	4
Nascha de'Rabbi Abba	Naska de-Rabbi Abba	1	2
Nashim (women)	Nashim (women's laws)	1	2
Nasi (patriarch)	Nasi (prince/leader)	1	19
Nasin (person of uncertain status)	Nasin (member of converted Gibeonites)	1	2
Natin (temple servant)	Natin (Gibeonite; lower status)	1	2
Navi (prophet)	Navi (prophet) and Elijah at Mount Carmel; Navi (prophetic text)	2	4
Navi Sheker (false prophet)	Navi HaSheker (false prophet)	5	7
Navot HaYizre'eli	Navot	1	2
Nazir (nazirite)	Nazir (nazirite vow)	2	47
Nazir and Nezirut (nazirite status)	Nazir and ending of nazirite status	1	2
Nazir and tumah restrictions	Nazir and tumah (impurity)	1	2
Nazir hair-cutting prohibition	Nazir hair cutting; Nazir Prohibition of Ta'ar (hair cutting prohibition)	1	3
Nazir in cemetery: purity violation	Nazir in cemetery	1	2
Nazir Megaleach (nazirite shaving head)	Nazir Megaleach (nazirite shaving head due to impurity)	1	2
Nazir Olam (permanent nazirite with trimming leniency)	Nazir Olam (permanent nazirite with allowances); Nazir L'Olam (forever nazirite by circumstance)	1	3
Nazir Shimshon (Samson's nazirite status)	Nazir Shimshon (partial nazirite)	2	3
Nazir Tahor vs. Nazir Tamei (pure vs. impure nazirite)	Nazir Tahor (pure nazirite)	1	4
Nazir Tamei (impure nazirite)	Nazir Tamei (accepting nazirite vow while impure); Nazir Tamei (nazirite who became impure)	6	9
Ne'echal Kamoshehu Chai (edible raw)	Ne'echal kemoto shehu chai (edible while raw)	1	2
Ne'elam (hidden)	Ne'elam (concealment/hidden)	1	3
Ne'emanut (trustworthiness)	Ne'emanim (trustworthiness); Ne'emanus (credibility/reliability); Ne'emanut (credibility/trustworthiness)	1	4
Ne'evad (worshipped object)	Ne'evad (actually worshipped); Ne'evad (worshipped animals); Ne'evad (worshipped as idolatry); Ne'evad (worshipped status)	1	6
Ne'ila (closing prayer on Yom Kippur)	Ne'ilah (closing prayer service)	1	2
Ne'ilat HaSandal (not wearing shoes)	Ne'ilat ha-Sandal (shoe removal ceremony)	2	3
Nechasim (property/assets)	Nechasim (property/possessions); Nechsei (property)	1	4
Nechasim Bechezkasan (property in presumptive possession)	Nechasim Bechezkatan (property in presumptive possession)	1	2
Nechasim Muatim (small estate)	Nechsei Me'utim (small estate)	2	3
Nechunya Chofer Shichin in witness testimony	Nechunya Chofre Shichin in testimony	1	2
Nedarim (vows)	Ndarim (vows)	5	6
Neder and Nedava (vow and free-will offering)	Nedava and Neder (free-will offering vs. vow)	2	3
Neder O Nedava (vow or free-will offering)	Nedarim and Nedavot (vows and free-will offerings)	1	2
